question;reponse;reponse
Merci pour votre confiance. Nous vous invitons à nous laisser un avis 5 étoiles sur notre page GOOGLE via le lien ici : https://example.com;209;En revanche ce sui serait à améliorer, c'est l'envoi plus rapide de vos factures. Car il faut attendre plusieurs mois à ant de la recevoir et donc de se faire rembourser les frais par la mutuelle. Cordialement
Vous n'avez pas répondu au message précédent, si tout va bien répondez TVB, sinon répondez AID;82;TVB avec réserve car petite douleur au niveau de la ceinture quand j'appuie dessus
Hopital John Gregoire Montreuil : suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;18;Tout va bien merci
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2.  Si vous avez fait votre pré-admission, répondez FAIT. Sinon faites-la aujourd'hui : https://example.com Répondez FAIT quand vous l'aurez faite;81;J'ai annulé cette admission qui est reportée au 6 septembre. Pre admission faite.
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;35;Désolée  TVB J'attends l'infirmière
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à la polyclinique d'Hénin-Beaumont ? Merci de répondre un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);18;Très satisfait. 10
Evaluez votre douleur actuelle sur une échelle de 0 à 10 et répondez simplement un chiffre (0 :pas de douleur, 10 : douleur insupportable);72;Pour est-on ça va c'est passé avec mon fils merci beaucoup bonne journée
Votre endoscopie digestive (coloscopie, fibroscopie, echo-endoscopie) est prévue le **/date_demarrage_date**/ . Si vous avez un empechement, répondez ALERTE à ce sms. Nous vous enverrons l'heure de votre convocation la veille vers 14h.  Un accompagnant est obligatoire UNIQUEMENT pour votre sortie, Il n'y a pas d'accompagnant en chambre;126;Désolé, je ne serai pas présente car nous n'avons pas le droit à l'accompagnant dans la chambre. Merci de votre compréhension.
En cas de nausées, de vomissements ou de vertiges, répondez NVO Si vous avez un saignement important, répondez SNG  Si vous avez de la fievre supérieure à 38° répondez FIE Si vous avez un autre problème médical, répondez AUT;59;7 NVO SNG  Saignement vu par le docteur doe ce matin en RDV
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;22;TVB  Échelle douleur 3
Vous n'avez répondu à aucun sms. Répondez-y maintenant ou si tout va bien, répondez dès que possible TVB.;26;Je suis encore à l hôpital
Merci de votre réponse. Pour toute question ou problème vous reférer au secretariat du chirurgien;32;Sauf j'ai le pied et les gonfler
Merci pour votre réponse, votre RDV est annulé, nous vous contacterons pour reprendre un RDV;166;Si posssible un rdv reporter le 25 ou 26 ou 27 juin ou entre le 16 juillet  et 31 juillet  Pour ma fille Cassagnes Jane  Merci par avance de votre retour Cordialement
Hopital Sainte-Jane: suite à votre intervention, si tout va bien, répondez TVB sinon répondez AID;39;Mon intervention est reporté au 27 aout
Hopital Saint John : Suite à votre intervention, si tout va bien répondez TVB;123;Pourquoi et comment faire partir le bourdonnement à l oreille gauche et crampes des doigts de la  main gauche de tps en tps
En cas de problème post opératoire vous pouvez contacter en priorité votre praticien ou le 01.00.00.00.00;57;"J'ai pourtant répondu : donc je confirme de nouveau ""TVB"""
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;80;Douleur dans les épaules et le ventre Mais c est normal je pense . Ventre souple
Vous n'avez pas répondu au message précédent, si tout va bien répondez TVB sinon répondez AID;12;Bonjour, TVB
Vous n'avez répondu à aucun message, répondez-y maintenant. Si tout va bien répondez TVB sinon répondez AID;16;Tvb. Je dormais.
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;37;Tvb douleur pr le moment ressenti à 6
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à la polyclinique d'Hénin-Beaumont ? Merci de répondre un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);14;8 sur 10 merci
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;48;évaluation passage service neuroradiologie: 8/10
Vous n'avez pas répondu, répondez ACC pour confirmer que vous avez un accompagnant;25;Oui j ai un accompagnant.
Vous n'avez répondu à aucun sms, répondez-y maintenant ou si tout va bien répondez TVB;30;Tout va bien, douleur 0, merci
Pour organiser votre accueil, si vous avez besoin d’aide dans les actes au quotidien (marche, toilette, les changes...) répondez OUI;17;Message bien reçu
Vous n'avez pas répondu, répondez ACC pour confirmer que vous avez un accompagnant;94;Il y a une erreur : cette opération a été annulée au profit de la pose d'un patch à 15h demain
La clinique du Mousseau : Suite à votre intervention si tout va bien, répondez TVB sinon répondez AID;15;Merci pour tout
Vous n'avez répondu si tout va bien, répondez TVB, sinon répondez AID;18;TVB Merci beaucoup
Vous n'avez pas répondu, répondez ACC pour confirmer que vous avez un accompagnant;11;Je conduis.
Un accompagnant sera obligatoire pour votre retour à domicile et il devra etre présent à vos cotés jusqu'au lendemain matin;19;J'ai annulé mon rdv
Merci de votre réponse. Si besoin vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi entre 09:00 et 17:00 et au 01.00.00.00.00 le samedi;14;Merci beaucoup
CH privé du Montgardé : suite à votre intervention, si tout va bien répondez TVB, en cas de problème médical répondez AID;11;TVB. Merci.
Votre opération est prévue le **/date_demarrage_date**/ à la polyclinique d'Hénin-Beaumont. Si vous avez un empechement ou un problème de santé, répondez ALERTE à ce sms. Nous vous enverrons l'heure de votre convocation la veille vers 14h. Un accompagnant est UNIQUEMENT obligatoire pour votre sortie. Il n'y a pas d'accompagnant en chambre;35;Bonjour, c'est bon pour l'opération
Vous pouvez manger et boire jusqu'à **/jeun_solide**/ et boire UNIQUEMENT de l'eau jusqu'à **/jeun_liquide**/. Ne pas fumer à partir de **/jeun_tabac**/;254;"à ""Vous etes attendu le 19/06/24 à 12h30 à l'Hopital saint John, 185 rue Raymond Losserand 75014 Paris (Galerie Ste Genevièveoseph, 185 rue Raymond Losserand 75014 Paris (Galerie Ste Jane, porte 1 niveau 1). Réduisez vos bagages au strict nécessaire. Vot"
Hopital Sainte-Jane: suite à votre intervention, si tout va bien, répondez TVB sinon répondez AID;33;Tvb  quand changer de pansement ?
Nous disposons d'une dépose minute limitée à 30 minutes (au fond du parking à gauche) si vous venez avec votre véhicule. Sonnez à l'interphone pour l'ouverture de la barrière. Nous donnerons au patient à son arrivée une estimation de l'heure pour venir le chercher puis nous vous appellerons dès que nous connaîtrons l'heure exacte de sortie. Attention, dans le contexte de pandémie COVID, vous ne pourrez pas attendre dans nos locaux;24;Je peux pas je travaille
Pontchaillou : Si vous avez mal dormi, répondez DOR;13;TVB  chelle 0
Merci pour votre réponse, n'hésitez pas à nous appeler au 01.00.00.00.00, une infirmière sera à votre écoute 7 jours sur 7, 24/24;45;Entendu, un grand merci à vous  Bonne journée
Clinique Les Martinets: suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;11;TVB. Merci.
"En cas de nausées, de vomissements ou de malaise répondez NVO; de douleur, répondez DOU. Si vous avez un saignement important, répondez SNG. Si votre température est supérieure à 38, répondez FIE";188;Bonjour, j'ai une question : puis-je commencer à travailler (je travaille comme caissière dans un supermarché), est-ce dangereux ?  Ils ne m'ont rien dit à ce sujet hier.   Merci d'avance.
Votre hospitalisation est prévue le **/date_demarrage_date**/. Nous vous enverrons l'heure de convocation la veille vers 14h. Lire le passeport de chirurgie remis par le chirurgien et respecter les consignes données par l'anesthésiste;92;J ai le covid depuis vendredi . ca va mieux mon médecin demande ci vous m opérer quand meme.
Vous n'avez répondu à aucun message, répondez y maintenant. Si tout va bien répondez maintenant TVB;22;Oui tout va bien merci
Apportez l'ordonnance de votre médecin, vos analyses de sang et vos examens radiologiques en rapport avec cet examen, surtout s'ils ont été faits dans un autre centre;123;Bonjour, mon époux vient d' être transféré a PROVINS, et il n est pas en état de se rendre à votre RV du 20 juin désolée...
Pouvez-vous nous indiquer le type de difficulté que vous rencontrez ?;129;impossible de prendre rdv avec un anesthésiste dans le délai imparti, aucune réponse au téléphone malgré les multiples tentatives
Je viens de faire le point avec le gastro entérologue. L'intervention est maintenue. Néanmoins qu'elle ne prenne pas l'éliquis ce soir. Cordialement.;86;Ok je vous remercie mais par contre nous avons pas d'horaire pour donner à l'ambulance
La présence d'un accompagnant est obligatoire pour votre retour à domicile et jusqu'au lendemain matin de votre intervention. Si vous ne pouvez pas avoir d'accompagnant, répondez SEUL pour etre recontacté.;29;Ok ai reçu le  message .merci
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min;65;PRIS Les douleurs sont là que lorsque je sollicite la main opéré.
Vous n'avez pas répondu. Suite à votre intervention à la polyclinique d'Hénin-Beaumont, si tout va bien répondez TVB sinon répondez AID;21;tvb , bonne journée !
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;40;bonjour je  veux modifier un rendez vous
"Merci de votre réponse. Dans le cadre d'un programme de suivi de la douleur post-opératoire, évaluez votre douleur sur une échelle de 0 à 10 (0 : pas de douleur ; 10 : douleur insupportable)";14;pas de douleur
Hopital Saint-John : Votre suivi par SMS est terminé. En cas de question médicale, vous pouvez joindre le 01.00.00.00.00 de 8h30 à 17h du lundi au vendredi. En cas de question administrative, consultez votre convocation pour y trouver le numéro du secrétariat de votre chirurgien;185;"à ""Hopital Saint-John : Sur une échelle de 0 à 10, comment évalueriez vous votre prise en charge par l'équipe de chirurgie ambulatoire ? (0 très peu satisfaisant; 10 très satisfaisant)"""
CHU John Jane : Suite à votre intervention au sein de l'unité de chirurgie ambulatoire, pensez à prendre les médicaments prescrits. Si tout va bien, répondez TVB, sinon répondez AID;118;Madame bonjour mais comment voulez m'aidez car je suis pas à Rouen je suis à 35 borne du Havre bonne après midi madame
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min;18;PRIS (sauf Acupan)
Merci de votre réponse. Pour toutes questions ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 8h à 17h30. En dehors de ces horaires, le week-end et jours fériés, téléphonez aux numéros indiqués sur les feuilles données à votre sortie;17;Bien cordialement
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;19;Si j'ai répondu TVB
Vous n'avez pas répondu. Suite à votre intervention à la polyclinique d'Hénin-Beaumont, si tout va bien répondez TVB sinon répondez AID;23;Ok tout va bien, merci.
Vous n'avez répondu à notre précédent SMS. Si tout va bien répondez TVB, sinon répondez AID. Pour toute urgence vitale, faites le 15 ou rendez vous aux urgences. Nous attendons une réponse de votre part avant 13H30;30;INTERVENTION ANNULÉE DONC  TVB
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min.;15;Pris Efferalgan
Vous n'avez répondu à aucun sms, si tout va bien répondez TVB, sinon répondez AID;42;Excusé moi tout va bien merci madame John 
Vous n'avez répondu à notre précédent SMS. Si tout va bien répondez TVB, sinon répondez AID. Pour toute urgence vitale, faites le 15 ou rendez vous aux urgences. Nous attendons une réponse de votre part avant 13H30;74;Mon intervention prévue le 18 a été annulée (grève) et reportée le 20 juin
Vous irez au bloc opératoire à pied: si cela vous parait impossible répondez IMP;131;Le chirurgien Monsieur doe avait parlé à mon papa d'une intervention en ambulatoire il n'y avait pas de nuit à passer à l'hôpital??
Vous n'avez répondu à notre précédent SMS. Si tout va bien répondez TVB, sinon répondez AID. Pour toute urgence vitale, faites le 15 ou rendez vous aux urgences. Nous attendons une réponse de votre part avant 13H30;30;Non opérée à cause de la grève
Vous n'avez répondu à aucun message, si tout va bien répondez TVB sinon répondez AID;31;J'ai passé la fibroscopie hier.
Vous n'avez répondu à notre précédent SMS. Si tout va bien répondez TVB, sinon répondez AID. Pour toute urgence vitale, faites le 15 ou rendez vous aux urgences. Nous attendons une réponse de votre part avant 13H30;17;Opération annulée
Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 ou 81 de 7h à 19h;16;0:pas de douleur
Merci de votre réponse et bon rétablissement. N'oubliez-pas votre RDV de suivi post-opératoire. En cas de besoin, vous pouvez contacter les urgences ophtalmologiques au 01.00.00.00.00 ou votre chirurgien;11;Oui. Merci!
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à  polyclinique d'Hénin-Beaumont ? Merci de répondre un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait).;34;9 merci personnel très sympathique
Pour toute autre question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 19h en semaine. En dehors de ces horaires, et le week-end et jours fériés, consultez le passeport ambulatoire;34;NVO - 4. - allergie sur bras droit
Suite à votre intervention à l'HEGP, si tout va bien répondez dès que possible TVB;273;Bonjour - Vous etes attendu le 18/06/24 à 10h45, à l'unité de Chirurgie Ambulatoire de l'HEGP (2ème étage pole D). Si vous avez un empechement ou un problème de santé, répondez ALERTE. Un accompagnant est obligatoire pour votr ene sortie et la 1re unuit post-opératoire.TVB
Merci de votre réponse;66;Pour la douleur je donnerai la note de 2 uniquement quand je mange
Merci pour votre réponse. Pour toute autre question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 19h. En dehors de ces horaires, et le week-end et jours fériés, appelez les urgences au 01.00.00.00.00.;19;Ok merci infiniment
En cas de sang présent dans les selles, répondez SNG;21;TVB  0 pas de douleur
Vous n'avez pas répondu. Suite à votre intervention à la polyclinique d'Hénin-Beaumont, si tout va bien répondez TVB sinon répondez AID;16;Un peu de fièvre
Vous n'avez pas répondu. Répondez aux messages ou si tout va bien, répondez TVB.;16;Oui tout va bien
Vous n'avez pas répondu, si tout va bien répondez maintenant TVB, sinon répondez APPEL;27;Sur l'échelle de 10  = 5/10
Clinique de la Sauvegarde, nous souhaitons évaluer votre état de santé suite à votre prise en charge: Si tout va bien répondez TVB, si vous avez besoin d'aide répondez AID;66;J attends toujours d être prise en charge vu qu il y a eu la grève
Hopital Parly 2. Faites votre préadmission aujourd'hui : https://example.com et répondez FAIT. Cela nous aidera à préparer au mieux votre arrivée. Si vous rencontrez des difficultés pour la faire, répondez DIF;56;Fait. Pré-admission effectuée en ligne le jeudi 13 juin.
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min;46;Ont ma pas prescrit de traitement anti douleur
Veuillez continuer les traitements. N'oubliez pas de vous présenter à votre rdv post-opératoire;16;Merci c'est noté
Pour toute autre question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 17h30 en semaine. En dehors de ces horaires, et le week-end et jours fériés, consultez le passeport ambulatoire;74;a ajouté un j'aime à Pour toute autre question ou probléme vous pouvez ...
